
# TURKISH_SERIES_DATABASE
# Format: ID | Series Name | Season | Episode | URL
# Encoding: UTF-8
------------------------------------------------------------------------------------------------------------------------------------------------------
(The actual content will be copied from FINAL_TURKISH_SERIES_CLEAN.txt by a script to ensure no data loss)
# סדרות מהרשימה האישית שלך בלבד
------------------------------------------------------------------------------------------------------------------------------------------------------
189    | הקיץ האחרון                    | 1 עונה          | פרק 63          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E63.mp4?v=r7f3a9c2#
190    | הקיץ האחרון                    | 1 עונה          | פרק 64          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E64.mp4?v=r7f3a9c2#
191    | הקיץ האחרון                    | 1 עונה          | פרק 65          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E65.mp4?v=r7f3a9c2#
192    | הקיץ האחרון                    | 1 עונה          | פרק 66          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E66.mp4?v=r7f3a9c2#
193    | הקיץ האחרון                    | 1 עונה          | פרק 67          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E67.mp4?v=r7f3a9c2#
194    | הקיץ האחרון                    | 1 עונה          | פרק 68          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E68.mp4?v=r7f3a9c2#
195    | הקיץ האחרון                    | 1 עונה          | פרק 69          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E69.mp4?v=r7f3a9c2#
196    | הקיץ האחרון                    | 1 עונה          | פרק 70          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E70.mp4?v=r7f3a9c2#
197    | הקיץ האחרון                    | 1 עונה          | פרק 71          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E71.mp4?v=r7f3a9c2#
198    | הקיץ האחרון                    | 1 עונה          | פרק 72          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E72.mp4?v=r7f3a9c2#
199    | הקיץ האחרון                    | 1 עונה          | פרק 73          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E73.mp4?v=r7f3a9c2#
200    | הקיץ האחרון                    | 1 עונה          | פרק 74          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E74.mp4?v=r7f3a9c2#
201    | הקיץ האחרון                    | 1 עונה          | פרק 75          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E75.mp4?v=r7f3a9c2#
